left letter,middle letter,right letter,value
a,a,a,0.0
a,a,b,0.0
a,a,c,0.0
a,a,d,0.0
a,a,e,0.0
a,a,f,0.0
a,a,g,0.0
a,a,h,3.4258436739569764e-07
a,a,i,0.0
a,a,j,0.0
a,a,k,3.4258436739569764e-07
a,a,l,3.4258436739569764e-07
a,a,m,0.0
a,a,n,1.3703374695827905e-06
a,a,o,0.0
a,a,p,0.0
a,a,q,0.0
a,a,r,2.055506204374186e-06
a,a,s,0.0
a,a,t,0.0
a,a,u,0.0
a,a,v,0.0
a,a,w,0.0
a,a,x,0.0
a,a,y,0.0
a,a,z,0.0
a,a, ,0.0
a,b,a,5.173023947675034e-05
a,b,b,1.7129218369784882e-05
a,b,c,6.851687347913953e-07
a,b,d,3.7684280413526738e-06
a,b,e,2.774933375905151e-05
a,b,f,0.0
a,b,g,0.0
a,b,h,3.4258436739569764e-07
a,b,i,7.331305462267929e-05
a,b,j,0.0
a,b,k,0.0
a,b,l,0.0004477577681861768
a,b,m,1.3703374695827905e-06
a,b,n,1.3703374695827905e-06
a,b,o,0.0004148696689161898
a,b,p,0.0
a,b,q,0.0
a,b,r,2.5008658819885926e-05
a,b,s,6.783170474434813e-05
a,b,t,0.0
a,b,u,9.249777919683835e-06
a,b,v,2.055506204374186e-06
a,b,w,0.0
a,b,x,0.0
a,b,y,1.610146526759779e-05
a,b,z,0.0
a,b, ,4.7961811435397665e-06
a,c,a,4.111012408748372e-06
a,c,b,0.0
a,c,c,0.00016375532761514345
a,c,d,0.0
a,c,e,0.0008280264159954011
a,c,f,3.4258436739569764e-07
a,c,g,0.0
a,c,h,0.00036142650760246096
a,c,i,6.406327670299545e-05
a,c,j,0.0
a,c,k,0.0004734515957408541
a,c,l,2.158281514592895e-05
a,c,m,6.851687347913953e-07
a,c,n,0.0
a,c,o,5.138765510935464e-06
a,c,p,0.0
a,c,q,3.460102110696546e-05
a,c,r,7.913698886840616e-05
a,c,s,1.027753102187093e-06
a,c,t,0.0004182955125901468
a,c,u,1.1305284124058022e-05
a,c,v,1.027753102187093e-06
a,c,w,0.0
a,c,x,0.0
a,c,y,1.849955583936767e-05
a,c,z,0.0
a,c, ,3.4258436739569764e-06
a,d,a,2.6721580656864415e-05
a,d,b,3.4258436739569764e-07
a,d,c,6.851687347913953e-07
a,d,d,0.0001589591464716037
a,d,e,0.00033915852372174067
a,d,f,2.021247767634616e-05
a,d,g,1.7129218369784882e-06
a,d,h,1.7129218369784882e-06
a,d,i,0.00014525577177577578
